ethnicity,region,total,Age 0 to 4,Age 5 to 7,Age 8 to 9,Age 10 to 14,Age 15,Age 16 to 17,Age 18 to 19,Age 20 to 24,Age 25 to 29,Age 30 to 34,Age 35 to 39,Age 40 to 44,Age 45 to 49,Age 50 to 54,Age 55 to 59,Age 60 to 64,Age 65 to 69,Age 70 to 74,Age 75 to 79,Age 80 to 84,Age 85 and over
Asian/Asian British: Bangladeshi,london,222127,23739,14538,9274,21090,4090,7450,7405,22838,24557,22943,18829,12895,8088,6766,5422,2978,2578,3404,2030,926,287
Asian/Asian British: Chinese,london,124250,5269,2301,1360,3825,905,2077,4004,20234,18770,16158,10913,7866,6788,6190,5784,4424,2475,2085,1439,789,594
Asian/Asian British: Other Asian,london,398515,30678,17056,9885,24494,5012,10241,10739,33239,40002,43076,42684,33676,26313,20387,16393,13273,8190,5972,3929,2029,1247
Black/African/Caribbean/Black British: Total,london,1088640,104683,59425,36207,90427,18630,35690,31537,80186,83309,84521,83189,97419,92531,63391,35753,22207,20179,21673,15181,8201,4301
Black/African/Caribbean/Black British: African,london,573931,61364,34416,19901,49390,10192,19215,17125,44680,47329,51463,50520,53043,42462,28686,15813,9965,7092,6179,3184,1309,603
Black/African/Caribbean/Black British: Caribbean,london,344597,19521,11947,7990,22319,5066,9998,9280,23361,22795,21594,22187,31088,37008,27702,16713,10275,11457,13805,10779,6321,3391
Black/African/Caribbean/Black British: Other Black,london,170112,23798,13062,8316,18718,3372,6477,5132,12145,13185,11464,10482,13288,13061,7003,3227,1967,1630,1689,1218,571,307
Other ethnic group: Total,london,281041,22829,12686,7499,18250,3765,8002,8045,24143,30192,30878,26342,23161,18720,13898,10442,7965,5229,3797,2587,1571,1040
Other ethnic group: Arab,london,106020,10795,6000,3321,7588,1390,2991,3206,9378,10803,10833,9754,8667,6648,4636,3333,2635,1637,1118,722,355,210
Other ethnic group: Any other ethnic group,london,175021,12034,6686,4178,10662,2375,5011,4839,14765,19389,20045,16588,14494,12072,9262,7109,5330,3592,2679,1865,1216,830
All categories: Ethnic group,north east,2596886,149843,83689,52610,145045,31250,63605,74585,184018,164303,151152,157149,183232,196020,181379,160945,168576,128511,110731,89861,65002,55380
White: Total,north east,2475567,136603,77190,48832,136318,29653,60442,70295,168418,151373,138760,146352,175072,190184,176846,157730,166362,127142,109506,88926,64456,55107
White: English/Welsh/Scottish/Northern Irish/British,north east,2431423,134098,76042,48135,134478,29314,59759,68964,163696,145497,133425,142418,171934,187486,174598,155899,164795,125781,108502,88225,63841,54536
White: Irish,north east,8035,127,75,58,178,36,60,228,860,641,513,468,481,537,575,609,616,581,501,385,284,222
White: Gypsy or Irish Traveller,north east,1684,149,101,62,167,26,73,68,153,135,109,125,127,95,78,63,59,34,33,14,6,7
White: Other White,north east,34425,2229,972,577,1495,277,550,1035,3709,5100,4713,3341,2530,2066,1595,1159,892,746,470,302,325,342
Mixed/multiple ethnic group: Total,north east,22449,3845,1797,976,2305,434,754,1003,2245,1706,1517,1203,1155,1037,749,463,395,255,206,177,138,89
Mixed/multiple ethnic group: White and Black Caribbean,north east,5938,595,358,213,606,114,210,259,597,418,363,315,391,392,285,180,190,119,93,88,97,55
Mixed/multiple ethnic group: White and Black African,north east,3549,847,349,178,342,61,104,141,268,261,275,182,146,133,118,57,36,12,11,14,10,4
Mixed/multiple ethnic group: White and Asian,north east,8022,1611,726,386,927,163,281,406,854,576,442,378,357,309,210,113,93,57,55,45,16,17
Mixed/multiple ethnic group: Other Mixed,north east,4940,792,364,199,430,96,159,197,526,451,437,328,261,203,136,113,76,67,47,30,15,13
Asian/Asian British: Total,north east,74599,6699,3454,2121,4978,915,1895,2438,11015,8338,7606,6894,5153,3567,2876,2194,1512,924,866,661,350,143
Asian/Asian British: Indian,north east,15817,1333,641,355,788,130,269,398,1740,1927,1822,1658,1166,852,668,598,538,324,261,204,99,46
Asian/Asian British: Pakistani,north east,19831,2186,1211,753,1754,331,600,642,1833,2059,2034,1637,1362,814,752,629,360,227,273,216,117,41
Asian/Asian British: Bangladeshi,north east,10972,1404,778,528,1210,230,435,382,989,1047,1014,913,656,456,337,224,101,82,89,63,31,3
Asian/Asian British: Chinese,north east,14284,693,248,133,368,87,233,620,4982,1850,1091,746,639,696,603,441,301,146,161,128,76,42
Asian/Asian British: Other Asian,north east,13695,1083,576,352,858,137,358,396,1471,1455,1645,1940,1330,749,516,302,212,145,82,50,27,11
Black/African/Caribbean/Black British: Total,north east,13220,1584,684,363,777,133,278,441,1189,1637,1877,1491,1068,650,436,230,135,74,81,53,26,13
Black/African/Caribbean/Black British: African,north east,10982,1328,576,290,669,118,240,369,990,1460,1690,1304,859,456,277,138,86,44,42,29,10,7
Black/African/Caribbean/Black British: Caribbean,north east,1193,33,22,16,34,4,16,45,110,101,115,115,141,131,112,63,35,24,35,21,15,5
Black/African/Caribbean/Black British: Other Black,north east,1045,223,86,57,74,11,22,27,89,76,72,72,68,63,47,29,14,6,4,3,1,1
Other ethnic group: Total,north east,11051,1112,564,318,667,115,236,408,1151,1249,1392,1209,784,582,472,328,172,116,72,44,32,28
Other ethnic group: Arab,north east,5850,758,390,220,400,61,142,211,605,613,616,607,358,313,207,124,92,47,33,20,17,16
Other ethnic group: Any other ethnic group,north east,5201,354,174,98,267,54,94,197,546,636,776,602,426,269,265,204,80,69,39,24,15,12
All categories: Ethnic group,north west,7052177,432091,241108,151058,412407,87884,177491,191462,489640,466582,429685,450049,514802,522351,465140,409628,439644,342240,285502,227350,167246,148817
White: Total,north west,6361716,353587,199547,126608,354949,76556,155437,167498,422049,399018,362589,393513,468061,487856,436908,389094,426485,333277,276761,221173,163882,146868
White: English/Welsh/Scottish/Northern Irish/British,north west,6141069,341842,194527,123579,347499,75089,152556,163049,402719,369263,336798,375923,453681,474868,425210,378692,416204,324454,268827,214660,158984,142645
White: Irish,north west,64930,908,509,397,1083,223,454,1021,3528,3468,3488,3384,3822,4309,4673,5298,6321,6203,5707,4727,3088,2319
White: Gypsy or Irish Traveller,north west,4147,433,251,127,355,69,153,123,379,357,312,267,282,285,214,167,128,86,74,44,25,16
White: Other White,north west,151570,10404,4260,2505,6012,1175,2274,3305,15423,25930,21991,13939,10276,8394,6811,4937,3832,2534,2153,1742,1785,1888
Mixed/multiple ethnic group: Total,north west,110891,18897,9043,5130,12584,2533,4756,4775,11102,8785,6860,5709,5738,4965,3222,2020,1577,1100,722,589,440,344
